width,depth,run,num_params,train_return,test_return,train_return_std,test_return_std,train_optimal_action_rate,test_optimal_action_rate,train_optimal_action_std,test_optimal_action_std,train_entropy,test_entropy,train_coverage,test_coverage,fim_trace
64.0,1.0,3.0,128.0,1.007633322164952,0.9085713477731655,0.5324552062105081,0.6744965351206896,0.995,0.95,0.07053367989832943,0.2179449471770337,nan,nan,1.0,1.0,nan
64.0,1.0,4.0,128.0,0.9434400621278007,0.9378397146468821,0.5709762907268345,0.5069155012996804,0.985,0.99,0.12155245781143219,0.09949874371066199,nan,nan,1.0,1.0,nan
96.0,1.0,0.0,192.0,0.9550502706933065,0.8007977747301882,0.5419579972538009,0.7107780194433946,0.995,0.925,0.07053367989832944,0.26339134382131846,nan,nan,1.0,1.0,nan
96.0,1.0,1.0,192.0,0.987607713302296,0.8804844722921138,0.5133222620221104,0.6718605589986157,0.995,0.95,0.07053367989832943,0.21794494717703372,nan,nan,1.0,1.0,nan
96.0,1.0,2.0,192.0,1.01121036082427,0.8420138254351197,0.49148637608573903,0.7554915498416261,1.0,0.905,0.0,0.29321493822791495,nan,nan,1.0,1.0,nan
96.0,1.0,3.0,192.0,0.997633322164952,0.9185713477731654,0.5404546228339594,0.6494600907741137,0.99,0.955,0.09949874371066199,0.20730412441627882,nan,nan,1.0,1.0,nan
96.0,1.0,4.0,192.0,0.9734400621278008,0.8978397146468821,0.521051342799116,0.5671237287246955,1.0,0.97,0.0,0.1705872210923198,nan,nan,1.0,1.0,nan
128.0,1.0,0.0,256.0,0.9650502706933065,0.6407977747301882,0.5284808406508604,0.8477308631681688,1.0,0.845,0.0,0.36190468358395145,nan,nan,1.0,1.0,nan
128.0,1.0,1.0,256.0,0.987607713302296,0.8704844722921138,0.5133222620221104,0.6884687853064053,0.995,0.945,0.07053367989832943,0.22798026230356,nan,nan,1.0,1.0,nan
128.0,1.0,2.0,256.0,1.01121036082427,0.8620138254351197,0.49148637608573903,0.7382851100571571,1.0,0.915,0.0,0.2788816953476868,nan,nan,1.0,1.0,nan
128.0,1.0,3.0,256.0,1.007633322164952,0.9385713477731654,0.5324552062105081,0.5956359042509143,0.995,0.965,0.07053367989832943,0.1837797594948911,nan,nan,1.0,1.0,nan
128.0,1.0,4.0,256.0,0.9734400621278008,0.8378397146468821,0.521051342799116,0.6719513515163904,1.0,0.94,0.0,0.23748684174075838,nan,nan,1.0,1.0,nan
192.0,1.0,0.0,384.0,0.9550502706933065,0.6307977747301883,0.5528069729893521,0.8771974931035795,0.995,0.84,0.07053367989832944,0.36660605559646714,nan,nan,1.0,1.0,nan
192.0,1.0,1.0,384.0,0.967607713302296,0.7304844722921138,0.5451542394596428,0.8690134812252028,0.985,0.875,0.12155245781143219,0.33071891388307384,nan,nan,1.0,1.0,nan
192.0,1.0,2.0,384.0,1.01121036082427,0.7620138254351196,0.49148637608573903,0.8386470533509096,1.0,0.865,0.0,0.34172357249683555,nan,nan,1.0,1.0,nan
192.0,1.0,3.0,384.0,0.977633322164952,0.6985713477731654,0.5830677264249224,0.8827882280663677,0.98,0.845,0.13999999999999999,0.36190468358395134,nan,nan,1.0,1.0,nan
192.0,1.0,4.0,384.0,0.9734400621278008,0.7978397146468821,0.521051342799116,0.7595667940200456,1.0,0.92,0.0,0.2712931993250107,nan,nan,1.0,1.0,nan
256.0,1.0,0.0,512.0,0.9550502706933065,0.2907977747301882,0.5488457601514268,1.109705949686655,0.995,0.67,0.07053367989832943,0.4702127178203499,nan,nan,1.0,1.0,nan
256.0,1.0,1.0,512.0,0.967607713302296,0.37048447229211384,0.5563034037322048,1.023364299994343,0.985,0.695,0.12155245781143217,0.460407428263272,nan,nan,1.0,1.0,nan
256.0,1.0,2.0,512.0,0.9812103608242699,0.47201382543511966,0.5384558628546949,1.0249218970471636,0.985,0.72,0.12155245781143219,0.44899888641287294,nan,nan,1.0,1.0,nan
256.0,1.0,3.0,512.0,0.967633322164952,0.38857134777316543,0.597681100528283,1.049018486500757,0.975,0.69,0.15612494995995996,0.46249324319388707,nan,nan,1.0,1.0,nan
256.0,1.0,4.0,512.0,0.9634400621278008,0.3578397146468821,0.5353399699045298,1.0318228050784097,0.995,0.7,0.07053367989832944,0.45825756949558394,nan,nan,1.0,1.0,nan
