width,depth,run,num_params,train_return,test_return,train_return_std,test_return_std,train_optimal_action_rate,test_optimal_action_rate,train_optimal_action_std,test_optimal_action_std,train_entropy,test_entropy,train_coverage,test_coverage,fim_trace
128.0,1.0,0.0,256.0,0.9744832236727499,0.8541952715062691,0.5123035322332735,0.7151021892966145,0.995,0.92,0.07053367989832945,0.2712931993250107,nan,nan,1.0,1.0,nan
128.0,1.0,1.0,256.0,0.970457314544184,0.877492001867955,0.4793816179400174,0.7363578168408558,1.0,0.925,0.0,0.26339134382131846,nan,nan,1.0,1.0,nan
128.0,1.0,2.0,256.0,0.9646894200187429,0.993749965824182,0.47963214812810495,0.5639419125725426,1.0,0.98,0.0,0.13999999999999999,nan,nan,1.0,1.0,nan
128.0,1.0,3.0,256.0,0.9940816726264617,0.8773484480104095,0.5405122787961765,0.5988458235370422,0.995,0.955,0.07053367989832945,0.20730412441627882,nan,nan,1.0,1.0,nan
128.0,1.0,4.0,256.0,1.0237484207498997,0.902957649172288,0.48480946031444067,0.6713700746853514,1.0,0.96,0.0,0.19595917942265428,nan,nan,1.0,1.0,nan
192.0,1.0,0.0,384.0,0.9644832236727499,0.784195271506269,0.5293574666008627,0.7868922947269774,0.99,0.885,0.09949874371066199,0.31902194281898544,nan,nan,1.0,1.0,nan
192.0,1.0,1.0,384.0,0.970457314544184,0.597492001867955,0.4793816179400174,0.9660496216001913,1.0,0.785,0.0,0.41082234603292944,nan,nan,1.0,1.0,nan
192.0,1.0,2.0,384.0,0.9646894200187429,0.8037499658241819,0.47963214812810495,0.7937416224024512,1.0,0.885,0.0,0.31902194281898544,nan,nan,1.0,1.0,nan
192.0,1.0,3.0,384.0,1.0040816726264616,0.7173484480104095,0.5221022055327669,0.8225218819684013,1.0,0.875,0.0,0.33071891388307384,nan,nan,1.0,1.0,nan
192.0,1.0,4.0,384.0,1.0137484207498997,0.7429576491722881,0.5127095992193962,0.8304893395248308,0.995,0.88,0.07053367989832943,0.32496153618543844,nan,nan,1.0,1.0,nan
256.0,1.0,0.0,512.0,0.9444832236727498,0.27419527150626904,0.573639397308573,1.0767247902901727,0.98,0.63,0.13999999999999999,0.4828043081829324,nan,nan,1.0,1.0,nan
256.0,1.0,1.0,512.0,0.970457314544184,0.337492001867955,0.4793816179400174,1.0956675778544473,1.0,0.655,0.0,0.4753682782853732,nan,nan,1.0,1.0,nan
256.0,1.0,2.0,512.0,0.944689420018743,0.4937499658241819,0.5201069226706331,1.0412019338460443,0.99,0.73,0.09949874371066199,0.4439594576084623,nan,nan,1.0,1.0,nan
256.0,1.0,3.0,512.0,0.9740816726264617,0.4273484480104095,0.571454296837581,0.9972103766089012,0.985,0.73,0.1215524578114322,0.4439594576084623,nan,nan,1.0,1.0,nan
256.0,1.0,4.0,512.0,0.9237484207498997,0.08295764917228819,0.6517097310030542,1.1208510902308766,0.95,0.55,0.2179449471770337,0.49749371855331,nan,nan,1.0,1.0,nan
384.0,1.0,0.0,768.0,0.9444832236727498,0.6841952715062689,0.5509872122819244,0.8611983120014375,0.98,0.835,0.13999999999999999,0.37118054905934933,nan,nan,1.0,1.0,nan
384.0,1.0,1.0,768.0,0.960457314544184,0.7374920018679549,0.4980224791425933,0.863857457128434,0.995,0.855,0.07053367989832943,0.352100837829165,nan,nan,1.0,1.0,nan
384.0,1.0,2.0,768.0,0.9646894200187429,0.873749965824182,0.47963214812810495,0.7456110893909509,1.0,0.92,0.0,0.2712931993250107,nan,nan,1.0,1.0,nan
384.0,1.0,3.0,768.0,0.9940816726264617,0.6573484480104096,0.5438593548721486,0.8318417201558221,0.995,0.845,0.07053367989832945,0.3619046835839514,nan,nan,1.0,1.0,nan
384.0,1.0,4.0,768.0,0.9837484207498997,0.5629576491722882,0.5846438805042417,0.9678840800436522,0.98,0.79,0.13999999999999999,0.4073082370883261,nan,nan,1.0,1.0,nan
512.0,1.0,0.0,1024.0,0.9744832236727499,0.7541952715062689,0.5230737862159937,0.8148657390503935,0.995,0.87,0.07053367989832944,0.33630343441600474,nan,nan,1.0,1.0,nan
512.0,1.0,1.0,1024.0,0.970457314544184,0.8174920018679549,0.4793816179400174,0.7885243817259258,1.0,0.895,0.0,0.3065534211193866,nan,nan,1.0,1.0,nan
512.0,1.0,2.0,1024.0,0.9646894200187429,0.9037499658241819,0.47963214812810495,0.6998274836887726,1.0,0.935,0.0,0.246525860712421,nan,nan,1.0,1.0,nan
512.0,1.0,3.0,1024.0,1.0040816726264616,0.7373484480104096,0.5221022055327669,0.8037117671023154,1.0,0.885,0.0,0.31902194281898544,nan,nan,1.0,1.0,nan
512.0,1.0,4.0,1024.0,0.9837484207498997,0.6729576491722881,0.5698389042928015,0.88050688041997,0.98,0.845,0.13999999999999999,0.36190468358395134,nan,nan,1.0,1.0,nan
